time,region,C,D,V,RR,GP,P,TS,W,R
28,24,0.001216247,4.37614E-05,0.014619962,-12,-3.285714286,49,0.571428571,-33,-5.285714286
29,24,0.001193121,4.97126E-05,0.013654171,-15.42857143,-6,35.85714286,-1.142857143,-32.57142857,-5.857142857
30,24,0.001156012,5.81158E-05,0.018624833,-10.28571429,-2.571428571,48.71428571,2.571428571,-30,-5.142857143
31,24,0.001126245,5.98661E-05,0.016218702,-8.857142857,-2.142857143,46.14285714,3.857142857,-30,-4.714285714
32,24,0.001107682,5.67147E-05,0.019914471,-4.571428571,-0.285714286,49,5.714285714,-29.71428571,-3.714285714
33,24,0.00109017,4.90117E-05,0.01394274,-2.714285714,0.428571429,52.28571429,7.571428571,-28.42857143,-3.857142857
34,24,0.001047087,5.77638E-05,0.011494892,2.285714286,5.571428571,60.42857143,14.42857143,-27.71428571,-4.428571429
35,24,0.000931555,5.91645E-05,0.008364884,-5,1.714285714,40.28571429,10.85714286,-26.71428571,-3.714285714
36,24,0.000866779,5.28621E-05,0.010006528,-4.285714286,3.571428571,31,9.714285714,-25.57142857,-2.285714286
37,24,0.000863623,5.25117E-05,0.006187075,-5.142857143,3,26.85714286,9.142857143,-22.85714286,-1.285714286
38,24,0.000873071,5.32116E-05,0.005856183,-5,3.714285714,26.14285714,10.28571429,-17.71428571,-1.142857143
39,24,0.000944124,5.60115E-05,0.00636125,-5.571428571,2.857142857,18,8,-16.14285714,-0.142857143
40,24,0.001041464,5.49616E-05,0.006830123,-6.571428571,2.285714286,9.285714286,7.428571429,-14.57142857,0.571428571
41,24,0.001246623,5.46112E-05,0.009699939,-3.857142857,5.857142857,24,11.71428571,-13.71428571,-0.142857143
42,24,0.001485741,6.40638E-05,0.010770869,-8,1.857142857,9,4.714285714,-13.57142857,1.571428571
43,24,0.001714003,7.17658E-05,0.004982118,-14.57142857,-3,-13,-7.285714286,-32.42857143,6
44,24,0.001780146,7.28149E-05,0.011356016,-20.42857143,-5.857142857,-11.71428571,-9.857142857,-25.71428571,5.714285714
45,24,0.001748293,7.4916E-05,0.015467023,-16.42857143,0.571428571,-11.14285714,-1.571428571,-14.85714286,3.142857143
46,24,0.001729028,7.9817E-05,0.018819545,-18.42857143,-1,-11.57142857,-3,-15.71428571,3.857142857
47,24,0.00177068,8.33176E-05,0.01324893,-19,-1.428571429,-12.71428571,-3.857142857,-15.28571429,4.142857143
48,24,0.001816534,8.54178E-05,0.013852784,-18.28571429,-2.857142857,-13,-5.714285714,-14.28571429,4.142857143
49,24,0.001704491,9.10189E-05,0.01105749,-14,0.571428571,-16.28571429,-2.571428571,-9.857142857,3
50,24,0.001544815,9.06673E-05,0.005581688,-9.857142857,1.428571429,-13,0,-8,2.142857143
51,24,0.001195076,8.89173E-05,0.00135575,2.142857143,17,0,6.714285714,-10.85714286,1.285714286
52,24,0.000817312,8.78665E-05,0.001355743,-25,-16,38.42857143,-27.42857143,-68.28571429,12.28571429
53,24,0.000618102,6.54597E-05,0.003313134,-22.14285714,-10.85714286,-5.428571429,-13.71428571,-23.85714286,6.428571429
0,36,0.001186333,3.08078E-05,0.00068964,-32.71428571,-26,15.71428571,-30.57142857,-63.57142857,13.42857143
1,36,0.001189438,3.60146E-05,0.00060466,-31.14285714,-16.57142857,-7.285714286,-18.28571429,-27.14285714,6.714285714
2,36,0.001177776,4.25225E-05,0.001210649,-33.14285714,-18.85714286,-14.85714286,-19.71428571,-22.57142857,3.857142857
3,36,0.001167424,5.16337E-05,0.003554358,-29.85714286,-14.28571429,-11.42857143,-15.14285714,-20.28571429,3.714285714
4,36,0.001129754,3.29841E-05,0.007301088,-29.85714286,-11.14285714,-11.71428571,-16.42857143,-19.57142857,3.428571429
5,36,0.001111146,5.2506E-05,0.008762884,-30.42857143,-11.14285714,-18.85714286,-14,-19.42857143,3.571428571
6,36,0.001070436,3.99287E-05,0.007675359,-24.71428571,-7.571428571,-6.142857143,-9.571428571,-19,3.428571429
7,36,0.000945973,2.43131E-05,0.005947424,-23.71428571,-8.142857143,-8.857142857,-14,-18.57142857,5.428571429
8,36,0.000878344,3.47261E-05,0.007766734,-20,-2.142857143,4.285714286,-2.714285714,-15.42857143,2.428571429
9,36,0.000788597,4.90447E-05,0.003195842,-19,-2.428571429,-3.571428571,-7,-24,3.428571429
10,36,0.000673221,6.72681E-05,0.002471028,-22.42857143,-4.285714286,0.142857143,-5.285714286,-15,2.571428571
11,36,0.00063117,5.20866E-05,0.006043508,-19.28571429,-0.428571429,6.142857143,-0.571428571,-16.28571429,1.857142857
12,36,0.00062384,3.51689E-05,0.004650258,-15.57142857,0.571428571,20,3.428571429,-18.28571429,0.428571429
13,36,0.000599126,1.30425E-05,0.010739916,-18.71428571,-0.714285714,15.14285714,2,-13,0.714285714
